Time,Feedback
"Instant { tv_sec: 1774666, tv_nsec: 753870786 }",1.299
"Instant { tv_sec: 1774666, tv_nsec: 769822870 }",1.3570001
"Instant { tv_sec: 1774666, tv_nsec: 769894926 }",1.3700001
"Instant { tv_sec: 1774666, tv_nsec: 818105910 }",-0.62600005
"Instant { tv_sec: 1774666, tv_nsec: 849976651 }",-0.906
"Instant { tv_sec: 1774666, tv_nsec: 897978104 }",-1.416
"Instant { tv_sec: 1774667, tv_nsec: 121922980 }",1.5810001
"Instant { tv_sec: 1774667, tv_nsec: 249945672 }",-1.118
"Instant { tv_sec: 1774667, tv_nsec: 265943411 }",1.2930001
"Instant { tv_sec: 1774667, tv_nsec: 330102150 }",1.3790001
"Instant { tv_sec: 1774667, tv_nsec: 458181045 }",1.5680001
"Instant { tv_sec: 1774667, tv_nsec: 490447565 }",-0.753
"Instant { tv_sec: 1774667, tv_nsec: 570442286 }",1.5170001
"Instant { tv_sec: 1774667, tv_nsec: 586506752 }",-0.55200005
"Instant { tv_sec: 1774667, tv_nsec: 617692947 }",-0.72700006
"Instant { tv_sec: 1774667, tv_nsec: 794178973 }",-0.62600005
"Instant { tv_sec: 1774667, tv_nsec: 905961138 }",1.2800001
"Instant { tv_sec: 1774667, tv_nsec: 921785017 }",-0.71000004
"Instant { tv_sec: 1774668, tv_nsec: 18215866 }",-0.546
"Instant { tv_sec: 1774668, tv_nsec: 66206774 }",1.314
"Instant { tv_sec: 1774668, tv_nsec: 97921194 }",-0.744
"Instant { tv_sec: 1774668, tv_nsec: 98126715 }",-1.1110001
"Instant { tv_sec: 1774668, tv_nsec: 146232970 }",-0.92
"Instant { tv_sec: 1774668, tv_nsec: 242201128 }",1.338
"Instant { tv_sec: 1774668, tv_nsec: 290111059 }",-0.947
"Instant { tv_sec: 1774668, tv_nsec: 322068145 }",-0.76000005
"Instant { tv_sec: 1774668, tv_nsec: 354207669 }",1.5100001
"Instant { tv_sec: 1774668, tv_nsec: 402128467 }",-0.52000004
"Instant { tv_sec: 1774668, tv_nsec: 434008969 }",-0.53900003
"Instant { tv_sec: 1774668, tv_nsec: 497743115 }",1.2880001
"Instant { tv_sec: 1774668, tv_nsec: 578140825 }",-1.2750001
"Instant { tv_sec: 1774668, tv_nsec: 641734623 }",1.3060001
"Instant { tv_sec: 1774668, tv_nsec: 657743378 }",-0.874
"Instant { tv_sec: 1774668, tv_nsec: 674020262 }",-0.8880001
"Instant { tv_sec: 1774668, tv_nsec: 690074952 }",-0.85700005
"Instant { tv_sec: 1774668, tv_nsec: 753814674 }",-0.513
"Instant { tv_sec: 1774668, tv_nsec: 866224798 }",-0.642
"Instant { tv_sec: 1774668, tv_nsec: 914093475 }",1.366
"Instant { tv_sec: 1774669, tv_nsec: 41691457 }",1.399
"Instant { tv_sec: 1774669, tv_nsec: 346057136 }",1.3330001
"Instant { tv_sec: 1774669, tv_nsec: 442109919 }",1.5380001
"Instant { tv_sec: 1774669, tv_nsec: 489618245 }",1.5970001
"Instant { tv_sec: 1774669, tv_nsec: 506193890 }",-0.555
"Instant { tv_sec: 1774669, tv_nsec: 553611363 }",-0.66800004
"Instant { tv_sec: 1774669, tv_nsec: 601427881 }",-0.90200007
"Instant { tv_sec: 1774669, tv_nsec: 703616856 }",-0.97700006
"Instant { tv_sec: 1774669, tv_nsec: 713848110 }",-1.48
"Instant { tv_sec: 1774669, tv_nsec: 713981394 }",-1.4690001
"Instant { tv_sec: 1774669, tv_nsec: 729552901 }",-1.516
"Instant { tv_sec: 1774669, tv_nsec: 729684102 }",-1.251
"Instant { tv_sec: 1774669, tv_nsec: 745964121 }",-1.34
"Instant { tv_sec: 1774669, tv_nsec: 746135676 }",-1.442
"Instant { tv_sec: 1774669, tv_nsec: 746269777 }",-1.4560001
"Instant { tv_sec: 1774669, tv_nsec: 762017408 }",-1.4430001
"Instant { tv_sec: 1774669, tv_nsec: 777818443 }",-1.32
"Instant { tv_sec: 1774669, tv_nsec: 777950913 }",-1.317
"Instant { tv_sec: 1774669, tv_nsec: 794134311 }",-1.434
"Instant { tv_sec: 1774669, tv_nsec: 825959690 }",-1.1090001
"Instant { tv_sec: 1774669, tv_nsec: 842064551 }",-1.3100001
"Instant { tv_sec: 1774669, tv_nsec: 857977192 }",-1.417
"Instant { tv_sec: 1774669, tv_nsec: 874079224 }",-1.4770001
"Instant { tv_sec: 1774669, tv_nsec: 874225607 }",-1.4260001
"Instant { tv_sec: 1774669, tv_nsec: 874300570 }",-1.113
"Instant { tv_sec: 1774669, tv_nsec: 890107647 }",-1.4210001
"Instant { tv_sec: 1774669, tv_nsec: 890276459 }",-1.437
"Instant { tv_sec: 1774669, tv_nsec: 937963247 }",-1.358
"Instant { tv_sec: 1774669, tv_nsec: 954044884 }",-1.452
"Instant { tv_sec: 1774669, tv_nsec: 954286824 }",-1.4280001
"Instant { tv_sec: 1774669, tv_nsec: 970142867 }",-1.342
"Instant { tv_sec: 1774669, tv_nsec: 985886122 }",-1.2290001
"Instant { tv_sec: 1774669, tv_nsec: 986063973 }",-1.133
"Instant { tv_sec: 1774669, tv_nsec: 986140353 }",-1.519
"Instant { tv_sec: 1774669, tv_nsec: 986207518 }",-1.343
"Instant { tv_sec: 1774670, tv_nsec: 1946009 }",-1.5100001
"Instant { tv_sec: 1774670, tv_nsec: 17817903 }",-1.5250001
"Instant { tv_sec: 1774670, tv_nsec: 34057166 }",-1.348
"Instant { tv_sec: 1774670, tv_nsec: 34203498 }",-1.273
"Instant { tv_sec: 1774670, tv_nsec: 34276154 }",-1.475
"Instant { tv_sec: 1774670, tv_nsec: 49902365 }",-1.325
"Instant { tv_sec: 1774670, tv_nsec: 50085877 }",-1.5100001
"Instant { tv_sec: 1774670, tv_nsec: 65830417 }",-1.47
"Instant { tv_sec: 1774670, tv_nsec: 65992761 }",-1.2030001
